classification_id,classification_uuid,taxon_id,taxon_classification_id,path,rank,current_scientific_name,current_scientific_name_exact,scientific_name_synonym,scientific_name_synonym_exact,common_name
1,149f50d1-44e8-4f15-a092-251af314041d,335647,1_335647,Fungi|Ascomycota|Dothideomycetes|Capnodiales|Mycosphaerellaceae|Passalora|Passalora foeniculi,sp.,Passalora foeniculi M. Kamal & S.A. Khan 1962,Passalora foeniculi,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,271841,1_271841,Fungi|Basidiomycota|Agaricomycetes|Hymenochaetales|Hymenochaetaceae|Hymenochaete|Hymenochaete murina,sp.,Hymenochaete murina Bres. 1920,Hymenochaete murina,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,270628,1_270628,Fungi|Ascomycota|Dothideomycetes|Incertae sedis|Incertae sedis|Bactrodesmium|Bactrodesmium mastigophorum,sp.,Bactrodesmium mastigophorum Syd. 1920,Bactrodesmium mastigophorum,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,189417,1_189417,Fungi|Ascomycota|Lecanoromycetes|Pertusariales|Pertusariaceae|Pertusaria|Pertusaria arborea arborea,f.,Pertusaria arborea f. arborea (Kreyer) Zahlbr. 1932,Pertusaria arborea arborea,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,336861,1_336861,Fungi|Ascomycota|Dothideomycetes|Meliolales|Meliolaceae|Meliola|Meliola oldenlandiae indica,var.,"Meliola oldenlandiae var. indica Hosag., C.K. Biju & T.K. Abraham 2005",Meliola oldenlandiae indica,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,459413,1_459413,,sp.,Mosigia acceptanda (Nyl.) Motyka 1996,Mosigia acceptanda,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,335648,1_335648,Fungi|Ascomycota|Dothideomycetes|Capnodiales|Mycosphaerellaceae|Passalora|Passalora moringae,sp.,Passalora moringae (Thirum. & Govindu) J.N. Kapoor & Munjal 1968,Passalora moringae,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,271842,1_271842,Fungi|Basidiomycota|Agaricomycetes|Agaricales|Hydnangiaceae|Laccaria|Laccaria murina,sp.,Laccaria murina S. Imai 1937,Laccaria murina,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,270629,1_270629,Chromista|Oomycota|Oomycetes|Pythiales|Pythiaceae|Pythium|Pythium mastophorum,sp.,Pythium mastophorum Drechsler 1930,Pythium mastophorum,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,189418,1_189418,Fungi|Ascomycota|Leotiomycetes|Rhytismatales|Rhytismataceae|Coccomyces|Coccomyces villaevicosae,sp.,Coccomyces villaevicosae Torrend 1909,Coccomyces villaevicosae,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,336862,1_336862,Fungi|Ascomycota|Dothideomycetes|Botryosphaeriales|Botryosphaeriaceae|Phyllosticta|Phyllosticta nepeticola,sp.,Phyllosticta nepeticola Melnik 1965,Phyllosticta nepeticola,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,271843,1_271843,Fungi|Basidiomycota|Agaricomycetes|Russulales|Russulaceae|Russula|Russula murina,sp.,Russula murina Burl. 1936,Russula murina,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,189419,1_189419,Fungi|Ascomycota|Sordariomycetes|Diaporthales|Diaporthaceae|Diaporthe|Diaporthe cylindrospora,sp.,Diaporthe cylindrospora Peck 1885,Diaporthe cylindrospora,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,336863,1_336863,Fungi|Ascomycota|Dothideomycetes|Botryosphaeriales|Botryosphaeriaceae|Phyllosticta|Phyllosticta nicandricola,sp.,Phyllosticta nicandricola V.G. Rao 1963,Phyllosticta nicandricola,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,271844,1_271844,,var.,Leptopodia murina var. alpestris (Boud.) R. Heim & L. Remy 1932,Leptopodia murina alpestris,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,459415,1_459415,,sp.,Mosigia leprothelia (Nyl.) Motyka 1996,Mosigia leprothelia,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,271845,1_271845,Fungi|Basidiomycota|Agaricomycetes|Agaricales|Amanitaceae|Amanita|Amanita murinacea,sp.,Amanita murinacea Pat. 1924,Amanita murinacea,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,397360,1_397360,Fungi|Ascomycota|Lecanoromycetes|Lecanorales|Parmeliaceae|Parmelia|Parmelia conformata,sp.,Parmelia conformata Vain.,Parmelia conformata,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,336864,1_336864,Fungi|Ascomycota|Dothideomycetes|Botryosphaeriales|Botryosphaeriaceae|Phyllosticta|Phyllosticta nyctanthis,sp.,Phyllosticta nyctanthis Pandotra & K.S.M. Sastry 1969,Phyllosticta nyctanthis,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,138581,1_138581,Fungi|Ascomycota|Sordariomycetes|Phyllachorales|Phyllachoraceae|Phyllachora|Phyllachora graminis cynodonticola,var.,Phyllachora graminis var. cynodonticola Speg. 1922,Phyllachora graminis cynodonticola,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,395610,1_395610,,sp.,Microthelia modesta Müll. Arg. 1894,Microthelia modesta,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,459416,1_459416,Fungi|Basidiomycota|Agaricomycetes|Cantharellales|Ceratobasidiaceae|Thanatephorus|Thanatephorus theobromae,sp.,Thanatephorus theobromae (P.H.B. Talbot & Keane) P. Roberts 1999,Thanatephorus theobromae,"Oncobasidium theobromae P.H.B. Talbot & Keane 1971","Oncobasidium theobromae",""
1,149f50d1-44e8-4f15-a092-251af314041d,271846,1_271846,,sp.,Hypholoma murinacea Beeli 1938,Hypholoma murinacea,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,336865,1_336865,Fungi|Ascomycota|Dothideomycetes|Botryosphaeriales|Botryosphaeriaceae|Phyllosticta|Phyllosticta ocimicola,sp.,Phyllosticta ocimicola Pandotra & Ganguly 1964,Phyllosticta ocimicola,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,395611,1_395611,,sp.,Microthelia nonensis (Stirt.) Zahlbr. 1921,Microthelia nonensis,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,137700,1_137700,Fungi|Ascomycota|Dothideomycetes|Pleosporales|Incertae sedis|Ascochyta|Ascochyta graminicola diedickeana,var.,Ascochyta graminicola var. diedickeana Baudy & Picb. 1926,Ascochyta graminicola diedickeana,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,459417,1_459417,Fungi|Basidiomycota|Agaricomycetes|Auriculariales|Incertae sedis|Ceratosebacina|Ceratosebacina prolifera,sp.,Ceratosebacina prolifera (D.P. Rogers) P. Roberts 1999,Ceratosebacina prolifera,"Sebacina prolifera D.P. Rogers 1936","Sebacina prolifera",""
1,149f50d1-44e8-4f15-a092-251af314041d,271847,1_271847,Fungi|Basidiomycota|Agaricomycetes|Russulales|Russulaceae|Russula|Russula murinacea,sp.,Russula murinacea R. Heim 1938,Russula murinacea,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,397362,1_397362,Fungi|Ascomycota|Lecanoromycetes|Lecanorales|Parmeliaceae|Parmelia|Parmelia confusa,sp.,Parmelia confusa Du Rietz 1924,Parmelia confusa,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,336866,1_336866,Fungi|Ascomycota|Dothideomycetes|Botryosphaeriales|Botryosphaeriaceae|Phyllosticta|Phyllosticta onosmae,sp.,Phyllosticta onosmae Vasyag. 1964,Phyllosticta onosmae,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,138583,1_138583,,var.,Hendersonia sarmentorum var. hederifolia Gonz. Frag. 1924,Hendersonia sarmentorum hederifolia,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,395612,1_395612,,sp.,Microthelia oblongata Müll. Arg. 1885,Microthelia oblongata,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,137701,1_137701,,var.,Pluteolus aleuriatus var. gracilis Peck 1901,Pluteolus aleuriatus gracilis,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,459418,1_459418,Fungi|Ascomycota|Sordariomycetes|Sordariales|Incertae sedis|Carpoligna|Carpoligna pleurothecii,sp.,Carpoligna pleurothecii F.A. Fernández & Huhndorf 1999,Carpoligna pleurothecii,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,397363,1_397363,Fungi|Ascomycota|Lecanoromycetes|Lecanorales|Parmeliaceae|Parmelia|Parmelia confusula,sp.,Parmelia confusula Zahlbr.,Parmelia confusula,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,336867,1_336867,Fungi|Ascomycota|Dothideomycetes|Botryosphaeriales|Botryosphaeriaceae|Phyllosticta|Phyllosticta papaveris,sp.,Phyllosticta papaveris Vasyag. 1967,Phyllosticta papaveris,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,138584,1_138584,Fungi|Basidiomycota|Agaricomycetes|Russulales|Russulaceae|Lactarius|Lactarius volemus subrugosus,var.,Lactarius volemus var. subrugosus Peck 1885,Lactarius volemus subrugosus,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,137702,1_137702,Fungi|Ascomycota|Dothideomycetes|Botryosphaeriales|Botryosphaeriaceae|Phyllosticta|Phyllosticta disciformis brasiliensis,var.,Phyllosticta disciformis var. brasiliensis Speg. 1919,Phyllosticta disciformis brasiliensis,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,459419,1_459419,Fungi|Ascomycota|Pezizomycetes|Pezizales|Helvellaceae|Helvella|Helvella terrestris,sp.,Helvella terrestris (Velen.) Landvik 1999,Helvella terrestris,"Pindara terrestris Velen. 1934","Pindara terrestris",""
1,149f50d1-44e8-4f15-a092-251af314041d,336868,1_336868,Fungi|Ascomycota|Dothideomycetes|Botryosphaeriales|Botryosphaeriaceae|Phyllosticta|Phyllosticta papayina,sp.,Phyllosticta papayina Sawada 1959,Phyllosticta papayina,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,271849,1_271849,Fungi|Basidiomycota|Agaricomycetes|Cantharellales|Hydnaceae|Hydnum|Hydnum murinum,sp.,Hydnum murinum Velen. 1922,Hydnum murinum,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,138585,1_138585,Fungi|Basidiomycota|Agaricomycetes|Agaricales|Pluteaceae|Pluteus|Pluteus creatophyllus excoriatus,var.,Pluteus creatophyllus var. excoriatus Bres.,Pluteus creatophyllus excoriatus,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,137703,1_137703,Fungi|Ascomycota|Dothideomycetes|Pleosporales|Leptosphaeriaceae|Leptosphaeria|Leptosphaeria galiorum cirsiorum,f.,Leptosphaeria galiorum f. cirsiorum Sacc.,Leptosphaeria galiorum cirsiorum,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,407700,1_407700,Fungi|Ascomycota|Lecanoromycetes|Rhizocarpales|Catillariaceae|Toninia|Toninia loitlesbergeri,sp.,Toninia loitlesbergeri Zahlbr. 1904,Toninia loitlesbergeri,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,336869,1_336869,Fungi|Ascomycota|Dothideomycetes|Botryosphaeriales|Botryosphaeriaceae|Phyllosticta|Phyllosticta paraopebensis,sp.,Phyllosticta paraopebensis Bat. & Peres 1962,Phyllosticta paraopebensis,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,137704,1_137704,Fungi|Ascomycota|Dothideomycetes|Pleosporales|Incertae sedis|Ascochyta|Ascochyta graminicola coeruleae,var.,Ascochyta graminicola var. coeruleae Briard & Har. 1891,Ascochyta graminicola coeruleae,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,409450,1_409450,Fungi|Ascomycota|Eurotiomycetes|Verrucariales|Verrucariaceae|Verrucaria|Verrucaria nigricolor,sp.,Verrucaria nigricolor Arnold 1899,Verrucaria nigricolor,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,395616,1_395616,,sp.,Microthelia palmarum,Microthelia palmarum,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,138587,1_138587,Fungi|Basidiomycota|Agaricomycetes|Agaricales|Typhulaceae|Pistillaria|Pistillaria rosella ramosa,var.,Pistillaria rosella var. ramosa Pat. 1883,Pistillaria rosella ramosa,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,198200,1_198200,Fungi|Ascomycota|Sordariomycetes|Phyllachorales|Phyllachoraceae|Phyllachora|Phyllachora decaisneana,sp.,Phyllachora decaisneana (Lév.) Sacc. 1883,Phyllachora decaisneana,"Catacauma decaisneanum (Lév.) Theiss. & Syd. 1915,Dothidea decaisneana Lév. 1845","Catacauma decaisneanum,Dothidea decaisneana",""
1,149f50d1-44e8-4f15-a092-251af314041d,137705,1_137705,Fungi|Ascomycota|Lecanoromycetes|Ostropales|Odontotremataceae|Odontotrema|Odontotrema subintegrum macrosporum,var.,Odontotrema subintegrum var. macrosporum Vain. 1885,Odontotrema subintegrum macrosporum,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,409451,1_409451,Fungi|Ascomycota|Eurotiomycetes|Verrucariales|Verrucariaceae|Verrucaria|Verrucaria nipponica,sp.,Verrucaria nipponica Zahlbr. 1921,Verrucaria nipponica,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,395617,1_395617,,sp.,Microthelia pharaonis Müll. Arg. 1880,Microthelia pharaonis,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,138588,1_138588,Fungi|Ascomycota|Dothideomycetes|Capnodiales|Davidiellaceae|Cladosporium|Cladosporium herbarum aphidicola,var.,Cladosporium herbarum var. aphidicola C. Massal. 1918,Cladosporium herbarum aphidicola,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,409452,1_409452,Fungi|Ascomycota|Eurotiomycetes|Verrucariales|Verrucariaceae|Verrucaria|Verrucaria nitens,sp.,Verrucaria nitens Fée 1824,Verrucaria nitens,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,407703,1_407703,Fungi|Ascomycota|Lecanoromycetes|Rhizocarpales|Catillariaceae|Toninia|Toninia luridonigra,sp.,Toninia luridonigra Nyl.,Toninia luridonigra,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,398581,1_398581,Fungi|Ascomycota|Lecanoromycetes|Lecanorales|Parmeliaceae|Parmeliopsis|Parmeliopsis placorodia,sp.,Parmeliopsis placorodia (Ach.) Nyl. 1863,Parmeliopsis placorodia,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,395618,1_395618,,sp.,Microthelia ploseliana Stein 1879,Microthelia ploseliana,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,198202,1_198202,Fungi|Ascomycota|Sordariomycetes|Xylariales|Xylariaceae|Poronia|Poronia oedipus,ß,Poronia oedipus ß cladonioides Ces.,Poronia oedipus,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,137707,1_137707,Fungi|Ascomycota|Dothideomycetes|Pleosporales|Leptosphaeriaceae|Leptosphaeria|Leptosphaeria galiorum antirrhini,subsp.,Leptosphaeria galiorum subsp. antirrhini Sacc. 1915,Leptosphaeria galiorum antirrhini,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,198203,1_198203,Fungi|Ascomycota|Sordariomycetes|Hypocreales|Clavicipitaceae|Sphacelia|Sphacelia allii,sp.,Sphacelia allii Voglino 1902,Sphacelia allii,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,397368,1_397368,Fungi|Ascomycota|Lecanoromycetes|Lecanorales|Parmeliaceae|Parmelia|Parmelia conradii,sp.,Parmelia conradii Lönnr. 1857,Parmelia conradii,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,138589,1_138589,,var.,Hendersonia sarmentorum var. forsythiae Brunaud,Hendersonia sarmentorum forsythiae,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,137708,1_137708,,var.,Pezizella avellanea var. macrospora Penz. & Sacc.,Pezizella avellanea macrospora,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,409454,1_409454,,f.,Bryopogon viridescens f. pendulus (Gyeln.) Gyeln. 1935,Bryopogon viridescens pendulus,"","",""
